Time,x,y,yaw,v,acc,steer,Lat,Long,Alt,Roll,Pitch,Yaw,AngVel
100.04483644,87.89053344726562,-4.181746959686279,-1.970866560935974,4.939661502838135,-0.0012447543774238667,0.0005304461120736771,-3.761789916723046e-05,0.0007917397213552102,2.391913652420044,-0.0630187839269638,-0.03313324600458145,-1.9730513095855713,-0.0007051570573821664
100.144836441,88.63101196289062,-4.20736837387085,-1.9757276773452757,4.939659595489502,-0.005251377139980243,0.00015256936174571842,-3.769468949599286e-05,0.0007939569985823705,2.391913414001465,-0.06268308311700821,-0.03313324600458145,-1.9757276773452757,-0.00031466709333471954
100.394836445,89.61831665039062,-4.241446018218994,-1.9757635593414309,4.939640522003174,-0.005166739905001749,-0.00013552541798452639,-3.815406500962126e-05,0.000807260661945332,2.391913890838623,-0.06225584447383881,-0.03313324600458146,-1.974957585334778,0.00029759202152490616
100.544836447,90.35879516601562,-4.266916275024414,-1.972655177116394,4.93963098526001,-0.004014281947862652,-0.00025223593862164564,-3.830653194825118e-05,0.0008116952163996524,2.391913890838623,-0.06225585192441939,-0.033133246004581444,-1.9712975025176993,0.0004821945622097701
100.594836448,90.60562133789062,-4.275390148162842,-1.9712975025176993,4.939627647399902,-0.0036362336756650977,-0.00028969937973751143,-3.838263690170152e-05,0.0008139124936268127,2.391913652420044,-0.06228636577725411,-0.03313324600458146,-1.9698407649993896,0.000515504740178585
100.69483645,91.09927368164062,-4.2923126220703125,-1.968333840370178,4.9396281242370605,-0.003117675787944297,-0.0002948821195338479,-3.853463692848891e-05,0.0008183470480811331,2.391913890838623,-0.06237792596220969,-0.03313324600458145,-1.9668030738830569,0.0005360081559047103
100.74483645,91.34609985351562,-4.3007636070251465,-1.9668030738830569,4.939628601074219,-0.0029310479565025824,-0.00029822131606107444,-3.8610532016036814e-05,0.0008205643253082934,2.391913652420044,-0.062408436089754105,-0.03313324600458145,-1.9652289152145377,0.0005534395459108055
100.794836451,91.59292602539062,-4.309206962585449,-1.9652289152145377,4.939629077911377,-0.004119428876732339,-0.00033664993505954505,-3.868636713377782e-05,0.0008227816025354537,2.391913652420044,-0.062408428639173494,-0.033133246004581444,-1.96354329586029,0.0005975710810162127
100.844836452,91.83975219726562,-4.317640781402588,-1.96354329586029,4.939629554748535,-0.0045942163993646255,-0.0003655829772779909,-3.883782743230313e-05,0.0008272161569897741,2.391913890838623,-0.062347412109375014,-0.033133246004581444,-1.9617164134979244,0.00064803846180439
100.894836453,92.33340454101562,-4.334475517272949,-1.9596685171127317,4.939630031585693,-0.005945765710907309,-0.00041622803277962736,-3.8913418364927566e-05,0.0008294334342169344,2.391913652420044,-0.06225585192441939,-0.03313324600458145,-1.9596685171127317,0.0007320541189983487
101.044836455,92.82705688476562,-4.351253509521484,-1.954772472381592,4.939631462097168,-0.008745237640265817,-0.0006001535063154539,-3.9064253300580276e-05,0.0008338679886712549,2.391913652420044,-0.0617370493710041,-0.033133246004581444,-1.9518233537673944,0.0010541139636188745
101.144836456,93.32074737548828,-4.367955684661865,-1.9484374523162846,4.939631938934326,-0.011438672837990802,-0.0007807826651058669,-3.9214462830727825e-05,0.0008383028858056612,2.391913890838623,-0.061248771846294424,-0.03313324600458145,-1.9446036815643308,0.0013701824937015772
101.194836457,93.81446075439453,-4.3845601081848145,-1.940239191055297,4.939632415771484,-0.013450341572724992,-0.0008928989681785543,-3.928926133767163e-05,0.00084052043717689,2.391913890838623,-0.060943599790334674,-0.033133246004581444,-1.940239191055297,0.0015633042203262448
101.344836459,94.30817413330078,-4.401041030883789,-1.9298026561737063,4.939632415771484,-0.01635480088499438,-0.0011255078157047238,-3.95121276142163e-05,0.0008471730227545595,2.391913652420044,-0.05996702983975407,-0.033133246004581444,-1.9236404895782466,0.0021979850716888905
101.39483646,94.5550308227539,-4.40922737121582,-1.9236404895782466,4.939632892608643,-0.017646954775463054,-0.0012510673795906035,-3.958579098650716e-05,0.0008493905741257885,2.391913652420044,-0.05960082262754439,-0.033133246004581444,-1.9167945384979246,0.0024396153166890144
101.444836461,94.80187225341797,-4.41737174987793,-1.9167945384979246,4.939632415771484,-0.019361484261405593,-0.0013880828506005471,-3.965909453995664e-05,0.0008516080569610002,2.391913652420044,-0.059234604239463785,-0.03313324600458145,-1.909243106842041,0.0026871629524976015
101.494836461,95.0487289428711,-4.425471782684326,-1.909243106842041,4.939631938934326,-0.020801113109014984,-0.0015271188144543868,-3.973199970630503e-05,0.0008538254712601947,2.391913890838623,-0.0588378868997097,-0.03313324600458145,-1.9009068012237547,0.0029681401792913675
101.544836462,95.29558563232422,-4.433521747589111,-1.9009068012237547,4.93963098526001,-0.02311085547719074,-0.0016878791298818724,-3.9804463710879645e-05,0.0008560430226314236,2.391913890838623,-0.058441154658794396,-0.03313324600458145,-1.8917781114578243,0.0032432980369776487
101.59483646300001,95.54244232177734,-4.441519737243652,-1.8917781114578243,4.939630508422852,-0.02440932147302559,-0.0018410925361665442,-3.9876460775190026e-05,0.0008582605740026525,2.391913890838623,-0.0580444261431694,-0.03313324600458146,-1.8818422555923457,0.003527085529640317
101.644836464,95.78929138183594,-4.449460506439209,-1.8818422555923457,4.939630031585693,-0.02609092076796834,-0.0020007181555565384,-3.994794386130707e-05,0.0008604781253738813,2.391913890838623,-0.0576171837747097,-0.033133246004581444,-1.8710715770721429,0.003820195095613599
